Date,HomeTeam,FTHG,HTHG,HS,HST,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2005-09-21,Metz,1,0,19.0,6.0,1,0,Auxerre,2,1,16.0,5.0,1,0,A,A,4.0,10.0,20.0,12.0,0
2005-09-21,Ajaccio,0,0,10.0,5.0,1,0,Strasbourg,0,0,8.0,2.0,2,0,D,D,10.0,4.0,11.0,19.0,1
2005-09-21,Paris SG,2,1,8.0,2.0,3,0,Lille,1,1,17.0,5.0,3,0,H,D,13.0,12.0,4.0,8.0,2
2005-09-22,Lyon,1,1,14.0,8.0,2,0,Lens,1,1,8.0,4.0,3,0,D,D,17.0,12.0,1.0,7.0,1
2005-09-24,Nancy,2,0,14.0,5.0,2,0,Troyes,1,1,7.0,3.0,3,0,H,A,7.0,9.0,18.0,14.0,2
2005-09-24,Auxerre,3,2,8.0,5.0,0,0,Sochaux,0,0,7.0,6.0,0,0,H,H,13.0,8.0,7.0,16.0,2
2005-09-24,Bordeaux,1,1,10.0,3.0,2,0,Ajaccio,0,0,7.0,3.0,4,0,H,H,13.0,11.0,7.0,10.0,2
2005-09-24,Le Mans,0,0,6.0,2.0,1,0,Paris SG,0,0,4.0,2.0,2,0,D,D,14.0,16.0,5.0,2.0,1
2005-09-24,Lille,2,1,9.0,5.0,3,0,St Etienne,0,0,11.0,4.0,2,0,H,H,12.0,13.0,8.0,7.0,2
2005-09-24,Marseille,3,1,12.0,4.0,0,0,Metz,1,1,8.0,3.0,2,0,H,D,8.0,4.0,16.0,20.0,2
2005-09-24,Monaco,0,0,10.0,3.0,2,0,Nice,0,0,5.0,2.0,3,0,D,D,10.0,11.0,14.0,12.0,1
2005-09-24,Strasbourg,2,2,18.0,11.0,2,0,Toulouse,4,2,8.0,5.0,4,0,A,D,5.0,8.0,19.0,18.0,0
2005-09-25,Nantes,0,0,13.0,10.0,2,0,Lyon,1,0,6.0,3.0,5,1,A,D,11.0,18.0,10.0,1.0,0
2005-09-25,Lens,0,0,26.0,5.0,1,0,Rennes,0,0,4.0,1.0,4,1,D,D,13.0,10.0,7.0,16.0,1
2005-10-01,Sochaux,0,0,11.0,6.0,1,0,Nancy,2,0,10.0,5.0,1,0,A,D,8.0,10.0,18.0,16.0,0
2005-10-01,St Etienne,3,1,7.0,3.0,0,0,Le Mans,0,0,6.0,2.0,2,0,H,H,13.0,15.0,9.0,6.0,2
2005-10-01,Metz,0,0,9.0,1.0,2,1,Bordeaux,1,0,11.0,3.0,2,0,A,D,4.0,16.0,20.0,4.0,0
2005-10-01,Paris SG,2,0,24.0,9.0,3,0,Nantes,0,0,8.0,0.0,5,0,H,D,17.0,11.0,3.0,11.0,2
2005-10-02,Lille,0,0,14.0,6.0,1,0,Monaco,1,0,9.0,5.0,2,0,A,D,15.0,11.0,6.0,14.0,0
2005-10-02,Nice,0,0,10.0,3.0,1,0,Marseille,1,0,10.0,4.0,3,0,A,D,12.0,11.0,11.0,14.0,0
2005-10-02,Rennes,1,1,6.0,2.0,2,0,Lyon,3,0,12.0,7.0,2,0,A,H,11.0,21.0,16.0,1.0,0
2005-10-02,Toulouse,2,0,11.0,4.0,1,0,Auxerre,0,0,7.0,4.0,2,0,H,D,11.0,16.0,15.0,5.0,2
2005-10-02,Troyes,1,0,6.0,2.0,3,0,Strasbourg,1,1,6.0,4.0,3,0,D,A,9.0,5.0,17.0,19.0,1
2005-10-15,Strasbourg,0,0,8.0,5.0,0,0,Rennes,1,1,3.0,1.0,4,0,A,A,6.0,11.0,19.0,16.0,0
2005-10-15,Nantes,1,1,17.0,8.0,1,0,St Etienne,1,1,13.0,4.0,2,0,D,D,11.0,16.0,15.0,4.0,1
2005-10-15,Nancy,2,1,14.0,4.0,3,0,Toulouse,0,0,8.0,2.0,3,0,H,H,13.0,14.0,13.0,10.0,2
2005-10-15,Monaco,3,0,9.0,5.0,1,0,Metz,0,0,5.0,2.0,2,0,H,D,14.0,4.0,11.0,20.0,2
2005-10-15,Le Mans,1,1,14.0,8.0,2,0,Lille,1,1,8.0,5.0,1,0,D,D,15.0,15.0,9.0,8.0,1
2005-10-15,Bordeaux,1,0,11.0,8.0,3,0,Sochaux,1,1,4.0,2.0,2,0,D,A,19.0,8.0,3.0,18.0,1
2005-10-15,Auxerre,3,1,12.0,7.0,2,0,Troyes,0,0,6.0,3.0,1,0,H,H,16.0,10.0,9.0,17.0,2
2005-10-15,Lens,2,0,8.0,7.0,3,0,Nice,2,1,10.0,6.0,1,0,D,A,14.0,12.0,10.0,15.0,1
2005-10-16,Lyon,3,1,8.0,5.0,4,0,Ajaccio,2,1,9.0,8.0,1,0,H,D,24.0,11.0,1.0,16.0,2
2005-10-16,Marseille,1,0,31.0,6.0,3,0,Paris SG,0,0,8.0,2.0,4,0,H,D,14.0,20.0,11.0,2.0,2
2005-10-22,Lille,2,1,11.0,4.0,3,0,Nantes,0,0,10.0,4.0,0,0,H,H,16.0,12.0,9.0,15.0,2
2005-10-22,Metz,0,0,10.0,4.0,2,0,Lyon,4,3,9.0,6.0,0,0,A,A,4.0,27.0,20.0,1.0,0
2005-10-22,Nice,1,1,11.0,4.0,1,0,Auxerre,0,0,11.0,5.0,1,0,H,H,13.0,19.0,14.0,5.0,2
2005-10-22,Paris SG,1,0,11.0,4.0,4,0,Nancy,0,0,6.0,2.0,3,0,H,D,20.0,16.0,2.0,9.0,2
2005-10-22,Toulouse,1,1,7.0,3.0,3,0,Bordeaux,1,0,7.0,3.0,2,0,D,H,14.0,20.0,13.0,3.0,1
2005-10-23,Troyes,1,0,8.0,6.0,2,0,Lens,1,1,12.0,7.0,3,1,D,A,10.0,15.0,17.0,12.0,1
2005-10-23,St Etienne,2,1,11.0,5.0,2,0,Marseille,1,1,14.0,5.0,2,0,H,D,17.0,17.0,6.0,8.0,2
2005-10-23,Le Mans,2,2,5.0,3.0,1,0,Strasbourg,0,0,8.0,5.0,2,0,H,H,16.0,6.0,11.0,19.0,2
2005-10-23,Ajaccio,0,0,10.0,4.0,1,0,Rennes,1,1,5.0,2.0,3,0,A,A,11.0,14.0,16.0,14.0,0
2005-10-23,Sochaux,2,2,12.0,5.0,3,0,Monaco,1,0,12.0,6.0,5,0,H,H,9.0,17.0,18.0,8.0,2
2005-10-29,Strasbourg,0,0,22.0,10.0,0,0,St Etienne,1,0,9.0,6.0,1,0,A,D,6.0,20.0,19.0,4.0,0
2005-10-29,Bordeaux,2,1,14.0,6.0,2,0,Troyes,0,0,6.0,2.0,2,0,H,H,21.0,11.0,4.0,18.0,2
2005-10-29,Lens,1,1,9.0,3.0,2,0,Toulouse,0,0,3.0,1.0,2,0,H,H,16.0,15.0,11.0,14.0,2
2005-10-29,Lyon,1,0,22.0,6.0,2,0,Sochaux,0,0,11.0,3.0,2,0,H,D,30.0,12.0,1.0,16.0,2
