Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,AvgH,AvgD,AvgA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2016-05-14,CF Montreal,Philadelphia Union,1,1,D,NA,NA,NA,NA,1.67,3.74,5.03,11.0,13.0,19.0,10.0,1
2016-05-15,Sporting Kansas City,Orlando City,2,1,H,NA,NA,NA,NA,1.71,3.66,4.74,12.0,11.0,15.0,17.0,2
2016-05-15,FC Dallas,Seattle Sounders,2,0,H,NA,NA,NA,NA,1.73,3.64,4.65,23.0,16.0,1.0,6.0,2
2016-05-15,Houston Dynamo,Real Salt Lake,1,0,H,NA,NA,NA,NA,2.24,3.45,3.05,8.0,17.0,20.0,5.0,2
2016-05-15,Columbus Crew,Colorado Rapids,1,1,D,NA,NA,NA,NA,1.91,3.51,3.9,11.0,21.0,20.0,2.0,1
2016-05-15,Toronto FC,Vancouver Whitecaps,3,4,A,NA,NA,NA,NA,1.48,4.16,6.82,17.0,11.0,4.0,20.0,0
2016-05-15,New England Revolution,Chicago Fire,2,0,H,NA,NA,NA,NA,1.61,3.91,5.33,13.0,12.0,14.0,15.0,2
2016-05-16,Portland Timbers,New York City,1,2,A,NA,NA,NA,NA,1.63,4.15,4.96,12.0,15.0,18.0,9.0,0
2016-05-19,Toronto FC,New York City,1,1,D,NA,NA,NA,NA,1.42,4.6,6.97,17.0,18.0,5.0,4.0,1
2016-05-19,New York Red Bulls,Chicago Fire,1,0,H,NA,NA,NA,NA,1.42,4.74,6.79,16.0,12.0,8.0,15.0,2
2016-05-21,Philadelphia Union,DC United,1,0,H,NA,NA,NA,NA,1.96,3.5,3.71,14.0,13.0,12.0,14.0,2
2016-05-21,New York City,New York Red Bulls,0,7,A,NA,NA,NA,NA,2.58,3.46,2.57,19.0,19.0,3.0,4.0,0
2016-05-21,Chicago Fire,Houston Dynamo,1,0,H,NA,NA,NA,NA,2.1,3.43,3.35,12.0,11.0,15.0,20.0,2
2016-05-21,Toronto FC,Columbus Crew,0,0,D,NA,NA,NA,NA,1.97,3.54,3.64,18.0,12.0,6.0,16.0,1
2016-05-22,Seattle Sounders,Colorado Rapids,0,1,A,NA,NA,NA,NA,2.0,3.39,3.68,16.0,22.0,9.0,3.0,0
2016-05-22,Portland Timbers,Vancouver Whitecaps,4,2,H,NA,NA,NA,NA,2.07,3.53,3.33,12.0,14.0,18.0,14.0,2
2016-05-22,Sporting Kansas City,Real Salt Lake,1,3,A,NA,NA,NA,NA,1.65,3.73,5.19,15.0,17.0,13.0,8.0,0
2016-05-22,New England Revolution,FC Dallas,2,4,A,NA,NA,NA,NA,1.76,3.8,4.32,16.0,26.0,10.0,1.0,0
2016-05-22,Orlando City,CF Montreal,2,1,H,NA,NA,NA,NA,2.09,3.49,3.32,11.0,12.0,19.0,18.0,2
2016-05-23,Los Angeles Galaxy,San Jose Earthquakes,1,1,D,NA,NA,NA,NA,1.68,3.88,4.73,18.0,15.0,7.0,11.0,1
2016-05-26,Orlando City,Philadelphia Union,2,2,D,NA,NA,NA,NA,2.12,3.47,3.26,14.0,17.0,15.0,8.0,1
2016-05-28,Sporting Kansas City,DC United,0,1,A,NA,NA,NA,NA,1.67,3.76,5.03,15.0,13.0,15.0,17.0,0
2016-05-28,Vancouver Whitecaps,Houston Dynamo,1,1,D,NA,NA,NA,NA,1.74,3.77,4.43,14.0,11.0,17.0,20.0,1
2016-05-29,New York City,Orlando City,2,2,D,NA,NA,NA,NA,1.74,3.91,4.22,19.0,15.0,7.0,13.0,1
2016-05-29,San Jose Earthquakes,FC Dallas,0,0,D,NA,NA,NA,NA,2.37,3.16,3.05,16.0,29.0,12.0,1.0,1
2016-05-29,Colorado Rapids,Philadelphia Union,1,1,D,NA,NA,NA,NA,2.05,3.3,3.64,25.0,18.0,2.0,8.0,1
2016-05-29,Chicago Fire,Portland Timbers,1,1,D,NA,NA,NA,NA,2.07,3.4,3.45,15.0,15.0,14.0,16.0,1
2016-05-29,CF Montreal,Los Angeles Galaxy,3,2,H,NA,NA,NA,NA,2.45,3.37,2.76,12.0,19.0,20.0,6.0,2
2016-05-29,New England Revolution,Seattle Sounders,2,1,H,NA,NA,NA,NA,1.75,3.63,4.53,16.0,16.0,14.0,11.0,2
2016-05-29,Columbus Crew,Real Salt Lake,4,3,H,NA,NA,NA,NA,1.75,3.74,4.39,13.0,20.0,19.0,4.0,2
2016-05-29,New York Red Bulls,Toronto FC,3,0,H,NA,NA,NA,NA,1.73,3.83,4.48,22.0,19.0,3.0,7.0,2
2016-06-03,Chicago Fire,New York City,3,4,A,NA,NA,NA,NA,1.94,3.58,3.7,16.0,20.0,14.0,5.0,0
2016-06-03,Orlando City,Real Salt Lake,2,2,D,NA,NA,NA,NA,2.33,3.19,3.07,16.0,20.0,11.0,5.0,1
2016-06-03,FC Dallas,Philadelphia Union,2,0,H,NA,NA,NA,NA,1.55,4.01,5.85,30.0,19.0,1.0,7.0,2
2016-06-03,Houston Dynamo,New England Revolution,3,3,D,NA,NA,NA,NA,2.29,3.25,3.11,12.0,19.0,20.0,9.0,1
2016-06-03,San Jose Earthquakes,Colorado Rapids,1,0,H,NA,NA,NA,NA,1.89,3.29,4.27,17.0,26.0,11.0,2.0,2
2016-06-03,New York Red Bulls,Toronto FC,0,2,A,NA,NA,NA,NA,1.71,3.75,4.6,25.0,19.0,3.0,9.0,0
2016-06-03,Portland Timbers,Columbus Crew,2,1,H,NA,NA,NA,NA,1.87,3.6,3.96,16.0,16.0,16.0,14.0,2
2016-06-03,Vancouver Whitecaps,CF Montreal,2,3,A,NA,NA,NA,NA,1.82,3.44,4.44,15.0,15.0,17.0,18.0,0
2016-06-08,San Jose Earthquakes,New York City,0,0,D,NA,NA,NA,NA,2.09,3.56,3.28,20.0,23.0,7.0,4.0,1
2016-06-11,New York City,Toronto FC,0,5,A,NA,NA,NA,NA,2.32,3.51,2.86,24.0,22.0,4.0,5.0,0
2016-06-11,New York Red Bulls,CF Montreal,1,2,A,NA,NA,NA,NA,1.42,4.61,6.93,25.0,18.0,3.0,12.0,0
2016-06-11,Colorado Rapids,Los Angeles Galaxy,1,0,H,NA,NA,NA,NA,1.99,3.33,3.8,26.0,19.0,2.0,10.0,2
2016-06-18,New York City,Philadelphia Union,3,2,H,NA,NA,NA,NA,2.1,3.51,3.29,24.0,19.0,5.0,11.0,2
2016-06-19,Real Salt Lake,Portland Timbers,2,2,D,NA,NA,NA,NA,2.01,3.54,3.5,21.0,19.0,6.0,12.0,1
2016-06-19,Houston Dynamo,DC United,0,0,D,NA,NA,NA,NA,1.97,3.44,3.72,13.0,16.0,20.0,14.0,1
