Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2015-10-31,Newcastle,0,0,15,6,11,6,1,0,Stoke,0,0,9,2,4,16,3,0,R East,D,D,6.0,12.0,19.0,14.0,1
2015-10-31,Watford,2,1,20,5,7,16,3,0,West Ham,0,0,8,3,2,12,0,1,K Stroud,H,H,13.0,20.0,12.0,4.0,2
2015-10-31,Crystal Palace,0,0,10,5,7,12,3,0,Man United,0,0,5,1,3,15,3,0,M Jones,D,D,15.0,20.0,8.0,5.0,1
2015-10-31,Chelsea,1,1,8,2,1,9,1,0,Liverpool,3,1,16,7,7,21,4,0,M Clattenburg,A,D,11.0,14.0,15.0,10.0,0
2015-10-31,Man City,2,0,21,5,12,4,2,0,Norwich,1,0,5,3,4,13,2,1,R Madley,H,D,22.0,9.0,2.0,16.0,2
2015-11-01,Everton,6,2,15,8,6,6,3,0,Sunderland,2,1,17,9,1,5,2,0,A Marriner,H,H,13.0,6.0,12.0,19.0,2
2015-11-01,Southampton,2,2,11,2,4,5,0,1,Bournemouth,0,0,16,2,6,5,2,0,C Pawson,H,H,14.0,8.0,11.0,17.0,2
2015-11-02,Tottenham,3,2,17,6,4,6,0,0,Aston Villa,1,0,13,2,3,15,3,0,M Dean,H,H,17.0,4.0,6.0,20.0,2
2015-11-07,West Ham,1,1,16,5,3,11,1,0,Everton,1,1,13,4,5,12,2,0,P Tierney,D,D,20.0,16.0,6.0,9.0,1
2015-11-07,Bournemouth,0,0,20,5,16,9,2,0,Newcastle,1,1,2,1,0,11,2,0,L Mason,A,A,8.0,7.0,17.0,18.0,0
2015-11-07,Leicester,2,0,12,6,4,10,0,0,Watford,1,0,8,4,2,10,1,0,R East,H,D,22.0,16.0,3.0,11.0,2
2015-11-07,Man United,2,0,13,3,5,11,1,0,West Brom,0,0,4,0,1,10,3,1,M Dean,H,D,21.0,14.0,5.0,12.0,2
2015-11-07,Norwich,1,0,9,5,5,12,1,0,Swansea,0,0,8,0,2,7,0,0,M Clattenburg,H,D,9.0,13.0,17.0,13.0,2
2015-11-07,Stoke,1,0,8,2,1,13,3,0,Chelsea,0,0,19,4,9,10,1,0,A Taylor,H,D,13.0,11.0,13.0,16.0,2
2015-11-07,Sunderland,0,0,9,3,10,3,1,0,Southampton,1,0,11,4,11,7,3,0,M Jones,A,D,6.0,17.0,19.0,7.0,0
2015-11-08,Liverpool,1,1,22,4,14,7,1,0,Crystal Palace,2,1,9,4,6,6,2,0,N Swarbrick,A,D,17.0,16.0,9.0,10.0,0
2015-11-08,Aston Villa,0,0,3,0,3,7,1,0,Man City,0,0,13,3,8,7,1,0,C Pawson,D,D,4.0,25.0,20.0,1.0,1
2015-11-08,Arsenal,1,0,10,4,7,12,0,0,Tottenham,1,1,14,4,6,17,1,0,M Atkinson,D,A,25.0,20.0,2.0,6.0,1
2015-11-21,Chelsea,1,0,21,7,6,4,1,0,Norwich,0,0,4,2,5,12,4,0,C Pawson,H,D,11.0,12.0,16.0,15.0,2
2015-11-21,Everton,4,3,16,9,2,6,0,0,Aston Villa,0,0,10,3,3,9,0,0,M Oliver,H,H,17.0,5.0,9.0,20.0,2
2015-11-21,Man City,1,1,11,3,11,5,0,0,Liverpool,4,3,14,9,5,13,3,0,J Moss,A,A,26.0,17.0,1.0,10.0,0
2015-11-21,Newcastle,0,0,9,1,4,9,4,0,Leicester,3,1,18,7,9,12,1,0,M Jones,A,A,10.0,25.0,17.0,3.0,0
2015-11-21,Southampton,0,0,16,1,7,8,2,0,Stoke,1,1,16,4,3,8,0,0,L Mason,A,A,20.0,16.0,8.0,12.0,0
2015-11-21,Swansea,2,2,11,4,4,7,3,0,Bournemouth,2,2,16,4,5,9,2,0,A Marriner,D,D,13.0,8.0,15.0,18.0,1
2015-11-21,Watford,1,0,10,5,4,6,1,0,Man United,2,1,13,6,10,12,2,0,R Madley,A,A,16.0,24.0,12.0,4.0,0
2015-11-21,West Brom,2,2,4,1,3,14,3,0,Arsenal,1,1,11,3,5,10,2,0,M Clattenburg,H,H,14.0,26.0,15.0,4.0,2
2015-11-22,Tottenham,4,2,22,12,7,13,2,0,West Ham,1,0,10,4,6,9,2,0,A Taylor,H,H,21.0,21.0,5.0,6.0,2
2015-11-23,Crystal Palace,0,0,19,7,11,18,1,0,Sunderland,1,0,12,4,2,11,3,0,M Atkinson,A,D,19.0,6.0,10.0,19.0,0
2015-11-28,Sunderland,2,0,18,5,9,4,0,0,Stoke,0,0,7,3,5,10,2,1,M Dean,H,D,9.0,19.0,18.0,11.0,2
2015-11-28,Man City,3,2,16,9,6,14,2,0,Southampton,1,0,12,8,4,11,1,0,R East,H,H,26.0,20.0,3.0,8.0,2
2015-11-28,Leicester,1,1,7,3,1,5,0,0,Man United,1,1,10,2,8,7,1,0,C Pawson,D,D,28.0,27.0,2.0,3.0,1
2015-11-28,Bournemouth,3,0,19,10,10,6,2,0,Everton,3,2,11,6,5,6,0,0,K Friend,D,A,9.0,20.0,19.0,7.0,1
2015-11-28,Aston Villa,2,1,12,6,10,6,2,0,Watford,3,1,14,6,10,13,3,0,L Mason,A,D,5.0,16.0,20.0,13.0,0
2015-11-28,Crystal Palace,5,3,19,8,7,7,1,0,Newcastle,1,1,7,2,5,13,1,0,S Attwell,H,H,19.0,10.0,10.0,18.0,2
2015-11-29,Liverpool,1,0,10,2,8,12,3,0,Swansea,0,0,8,0,7,6,1,0,A Taylor,H,D,20.0,14.0,10.0,14.0,2
2015-11-29,Norwich,1,1,7,2,3,8,1,0,Arsenal,1,1,12,3,6,6,1,0,J Moss,D,D,12.0,26.0,16.0,4.0,1
2015-11-29,Tottenham,0,0,9,4,4,14,4,0,Chelsea,0,0,5,1,4,9,2,0,M Oliver,D,D,24.0,14.0,5.0,15.0,1
2015-11-29,West Ham,1,1,17,6,5,15,0,0,West Brom,1,0,7,3,2,16,2,0,M Atkinson,D,H,21.0,17.0,9.0,13.0,1
2015-12-05,Swansea,0,0,10,2,3,3,2,0,Leicester,3,2,16,5,8,19,3,0,M Oliver,A,A,14.0,29.0,15.0,2.0,0
2015-12-05,West Brom,1,1,11,4,3,13,3,0,Tottenham,1,1,9,3,6,10,2,0,J Moss,D,D,18.0,25.0,13.0,5.0,1
2015-12-05,Watford,2,1,14,7,4,11,3,0,Norwich,0,0,6,1,1,10,3,0,M Dean,H,H,19.0,13.0,11.0,16.0,2
2015-12-05,Stoke,2,2,7,4,1,9,0,0,Man City,0,0,11,4,6,10,1,0,M Atkinson,H,H,19.0,29.0,12.0,2.0,2
2015-12-05,Arsenal,3,1,16,7,3,7,1,0,Sunderland,1,1,11,4,2,11,1,0,R Madley,H,D,27.0,12.0,4.0,17.0,2
2015-12-05,Man United,0,0,21,1,6,9,1,0,West Ham,0,0,9,2,2,13,0,0,M Clattenburg,D,D,28.0,22.0,4.0,8.0,1
2015-12-05,Chelsea,0,0,19,6,11,10,2,0,Bournemouth,1,0,15,5,4,13,1,0,M Jones,A,D,15.0,10.0,14.0,18.0,0
2015-12-05,Southampton,1,0,23,5,10,4,1,0,Aston Villa,1,1,9,2,4,9,2,0,A Taylor,D,A,20.0,5.0,12.0,20.0,1
2015-12-06,Newcastle,2,0,6,1,2,6,3,0,Liverpool,0,0,10,1,7,10,1,0,A Marriner,H,D,10.0,23.0,19.0,7.0,2
2015-12-07,Everton,1,0,19,4,13,4,1,0,Crystal Palace,1,0,14,5,6,11,2,0,C Pawson,D,D,21.0,22.0,11.0,8.0,1
2015-12-12,West Ham,0,0,22,9,11,7,1,0,Stoke,0,0,12,3,7,9,2,0,A Marriner,D,D,23.0,22.0,7.0,11.0,1
2015-12-12,Sunderland,0,0,14,2,8,6,1,0,Watford,1,1,13,6,3,9,0,0,G Scott,A,A,12.0,22.0,19.0,11.0,0
2015-12-12,Norwich,1,0,9,2,5,9,1,0,Everton,1,1,15,3,4,6,0,0,M Atkinson,D,A,13.0,22.0,16.0,11.0,1
2015-12-12,Crystal Palace,1,1,12,5,8,11,0,0,Southampton,0,0,15,3,5,13,0,0,M Dean,H,H,23.0,21.0,9.0,12.0,2
2015-12-12,Bournemouth,2,1,11,5,5,12,2,0,Man United,1,1,11,5,7,12,1,0,A Taylor,H,D,13.0,29.0,17.0,4.0,2
2015-12-12,Man City,2,1,13,5,5,13,3,0,Swansea,1,0,13,7,5,15,1,0,R Madley,H,H,29.0,14.0,3.0,16.0,2
2015-12-13,Aston Villa,0,0,18,2,5,8,0,0,Arsenal,2,2,8,4,5,7,0,0,K Friend,A,A,6.0,30.0,20.0,3.0,0
2015-12-13,Liverpool,2,1,28,8,4,7,0,0,West Brom,2,1,4,2,4,10,0,0,C Pawson,D,D,23.0,19.0,10.0,13.0,1
2015-12-13,Tottenham,1,1,20,8,6,13,2,0,Newcastle,2,0,8,4,2,14,2,0,R East,A,H,26.0,13.0,5.0,18.0,0
2015-12-14,Leicester,2,1,9,5,1,16,2,0,Chelsea,1,0,11,5,8,8,0,0,M Clattenburg,H,H,32.0,15.0,3.0,16.0,2
2015-12-19,Southampton,0,0,11,4,4,18,1,0,Tottenham,2,2,13,6,7,9,1,0,K Friend,A,A,21.0,26.0,12.0,5.0,0
2015-12-19,Stoke,1,0,26,5,7,6,2,0,Crystal Palace,2,1,12,3,3,12,0,0,R Madley,A,A,23.0,26.0,11.0,6.0,0
2015-12-19,Newcastle,1,1,8,4,3,9,1,0,Aston Villa,1,0,10,7,7,14,3,0,M Atkinson,D,H,16.0,6.0,15.0,20.0,1
2015-12-19,West Brom,1,0,6,2,4,12,2,2,Bournemouth,2,0,16,7,8,9,1,0,M Dean,A,D,20.0,16.0,13.0,15.0,0
2015-12-19,Everton,2,1,13,5,10,6,2,0,Leicester,3,1,10,5,2,14,1,0,J Moss,A,D,23.0,35.0,10.0,1.0,0
2015-12-19,Chelsea,3,2,17,7,2,12,1,0,Sunderland,1,0,11,3,2,12,3,0,R East,H,H,15.0,12.0,16.0,19.0,2
2015-12-19,Man United,1,0,11,2,11,4,0,0,Norwich,2,1,6,4,0,10,2,0,M Oliver,A,A,29.0,14.0,5.0,18.0,0
2015-12-20,Swansea,0,0,21,2,8,6,0,0,West Ham,0,0,11,2,9,9,1,0,L Mason,D,D,14.0,24.0,18.0,8.0,1
2015-12-20,Watford,3,2,6,5,7,6,1,0,Liverpool,0,0,12,4,9,9,0,0,M Clattenburg,H,H,25.0,24.0,8.0,9.0,2
2015-12-21,Arsenal,2,2,8,5,4,5,0,0,Man City,1,0,20,6,8,16,2,0,A Marriner,H,H,33.0,32.0,2.0,3.0,2
2015-12-26,Tottenham,3,2,15,10,9,4,1,0,Norwich,0,0,11,3,4,13,2,0,M Jones,H,H,29.0,17.0,4.0,16.0,2
2015-12-26,Swansea,1,1,7,2,0,10,1,0,West Brom,0,0,9,3,7,13,3,0,R East,H,H,15.0,20.0,18.0,13.0,2
2015-12-26,Stoke,2,2,13,3,1,13,1,0,Man United,0,0,11,6,12,16,2,0,K Friend,H,H,23.0,29.0,11.0,5.0,2
