Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA,SeasonInt
Argentina,Liga Profesional,2026,25/02/2026,22:30,Velez Sarsfield,Dep. Riestra,0,0,D,,,,2.0,2.9,5.5,1.92,2.8,5.06,2.1,2.86,5.5,1.91,2.75,5.5,2026.0
Argentina,Liga Profesional,2026,26/02/2026,20:15,Racing Club,Ind. Rivadavia,1,1,D,,,,1.92,3.4,5.2,1.81,3.27,4.53,1.91,3.4,5.2,1.81,3.4,4.5,2026.0
Argentina,Liga Profesional,2026,26/02/2026,20:15,Sarmiento Junin,Union de Santa Fe,1,3,A,,,,3.55,2.95,2.45,3.31,2.81,2.36,3.6,2.96,2.52,3.3,2.85,2.35,2026.0
Argentina,Liga Profesional,2026,26/02/2026,22:30,Estudiantes Rio Cuarto,Huracan,2,0,H,,,,4.1,2.7,2.35,3.94,2.61,2.28,4.3,2.84,2.36,4.0,2.65,2.25,2026.0
Argentina,Liga Profesional,2026,26/02/2026,22:30,River Plate,Banfield,3,1,H,,,,1.65,3.95,6.1,1.6,3.6,5.79,1.69,3.8,6.6,1.61,3.7,5.5,2026.0
Argentina,Liga Profesional,2026,28/02/2026,20:45,Boca Juniors,Gimnasia Mendoza,1,1,D,,,,1.51,3.95,9.0,1.47,3.66,8.02,1.55,3.9,9.2,1.49,3.6,9.0,2026.0
Argentina,Liga Profesional,2026,28/02/2026,23:00,Independiente,Central Cordoba,2,0,H,,,,1.63,3.45,8.5,1.6,3.29,6.72,1.65,3.6,8.2,1.56,3.25,8.5,2026.0
Argentina,Liga Profesional,2026,01/03/2026,01:15,Talleres Cordoba,San Lorenzo,0,0,D,,,,2.2,2.85,4.25,2.13,2.75,4.07,2.26,2.86,4.7,2.05,2.85,4.2,2026.0
Argentina,Liga Profesional,2026,01/03/2026,20:00,Newells Old Boys,Rosario Central,0,2,A,,,,5.25,3.3,1.9,4.7,3.18,1.82,5.3,3.25,1.95,5.25,3.25,1.76,2026.0
Argentina,Liga Profesional,2026,01/03/2026,22:15,Argentinos Jrs,Barracas Central,1,1,D,,,,1.41,4.4,10.5,1.37,4.09,9.5,1.42,4.7,10.5,1.39,4.1,9.5,2026.0
