Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2010-09-28,Derby,3,1,19,11,12,13,1,0,Middlesbrough,1,1,13,5,7,14,4,0,C Pawson,H,D,8.0,10.0,19.0,18.0,2
2010-09-28,Coventry,2,1,13,7,5,8,1,0,Doncaster,1,1,19,12,14,10,1,0,A Penn,H,D,11.0,12.0,16.0,12.0,2
2010-09-28,Cardiff,0,0,12,6,3,16,2,0,Crystal Palace,0,0,11,7,5,10,1,0,S Tanner,D,D,16.0,7.0,2.0,21.0,1
2010-09-28,Burnley,4,2,17,9,6,7,0,0,Hull,0,0,8,5,2,5,1,0,A Bates,H,H,12.0,11.0,10.0,17.0,2
2010-09-28,Leeds,4,4,16,10,8,8,0,0,Preston,6,2,12,8,14,14,1,0,N Miller,A,H,14.0,6.0,10.0,23.0,0
2010-10-02,Sheffield United,0,0,11,6,11,13,2,0,Watford,1,1,11,7,2,8,1,0,C Webster,A,A,11.0,15.0,18.0,4.0,0
2010-10-02,Preston,1,1,9,6,4,15,2,1,Reading,1,0,10,7,11,15,3,0,J Waugh,D,H,9.0,15.0,20.0,6.0,1
2010-10-02,Millwall,1,1,19,11,11,15,2,0,Burnley,1,1,3,1,2,8,1,1,K Stroud,D,D,12.0,15.0,12.0,6.0,1
2010-10-02,Middlesbrough,2,2,10,6,5,13,2,1,Portsmouth,2,0,11,5,8,7,0,0,R Shoebridge,D,H,10.0,8.0,20.0,21.0,1
2010-10-02,Leicester,3,1,17,7,5,10,1,0,Scunthorpe,1,0,11,5,5,12,0,0,G Hegley,H,H,5.0,11.0,24.0,16.0,2
2010-10-02,Swansea,0,0,12,3,7,9,1,0,Derby,0,0,6,3,9,10,0,0,P Gibbs,D,D,15.0,11.0,8.0,15.0,1
2010-10-02,Hull,0,0,18,9,6,7,3,0,Coventry,0,0,11,6,6,10,2,0,S Rushton,D,D,11.0,14.0,17.0,9.0,1
2010-10-02,Doncaster,1,1,12,8,3,10,2,0,Nott'm Forest,1,1,7,5,6,16,2,0,G Salisbury,D,D,12.0,12.0,15.0,13.0,1
2010-10-02,Crystal Palace,1,0,11,5,7,8,2,0,QPR,2,0,11,7,11,10,2,0,K Friend,A,D,8.0,23.0,22.0,1.0,0
2010-10-02,Bristol City,0,0,11,6,13,6,1,0,Norwich,3,2,12,6,4,7,1,0,F Graham,A,A,6.0,16.0,24.0,7.0,0
2010-10-02,Barnsley,1,0,10,4,6,9,2,0,Cardiff,2,1,6,3,8,18,4,1,T Kettle,A,A,12.0,17.0,15.0,4.0,0
2010-10-02,Ipswich,2,1,12,5,7,14,1,0,Leeds,1,0,7,4,4,16,3,1,K Hill,H,H,15.0,14.0,8.0,10.0,2
2010-10-16,Sheffield United,3,0,13,6,9,11,2,0,Burnley,3,0,11,4,5,9,2,0,E Ilderton,D,D,11.0,16.0,19.0,6.0,1
2010-10-16,Scunthorpe,1,1,16,5,3,12,1,0,Doncaster,3,1,18,11,7,9,1,0,M Oliver,A,D,11.0,13.0,18.0,13.0,0
2010-10-16,Reading,0,0,9,3,14,20,1,0,Swansea,1,1,7,5,2,14,3,0,O Langford,A,A,16.0,16.0,7.0,8.0,0
2010-10-16,QPR,0,0,12,5,10,11,2,0,Norwich,0,0,9,4,7,16,3,0,A Penn,D,D,26.0,19.0,1.0,3.0,1
2010-10-16,Portsmouth,3,1,10,5,4,14,3,0,Watford,2,0,13,8,11,9,1,0,D McDermid,H,H,9.0,18.0,21.0,5.0,2
2010-10-16,Middlesbrough,1,0,12,6,5,11,0,0,Leeds,2,1,7,5,4,9,0,0,C Foy,A,A,11.0,14.0,20.0,11.0,0
2010-10-16,Leicester,1,1,13,5,7,6,1,0,Hull,1,0,8,4,4,8,2,0,N Miller,D,H,8.0,12.0,22.0,17.0,1
2010-10-16,Derby,3,2,13,6,9,14,0,0,Preston,0,0,10,7,11,17,4,1,A D'Urso,H,H,12.0,10.0,15.0,21.0,2
2010-10-16,Crystal Palace,0,0,7,1,13,13,0,1,Millwall,1,0,12,4,9,8,1,0,M Russell,A,D,8.0,13.0,23.0,14.0,0
2010-10-16,Cardiff,3,1,22,11,2,8,3,0,Bristol City,2,2,18,11,8,12,0,0,J Moss,H,A,20.0,6.0,2.0,24.0,2
2010-10-16,Barnsley,3,1,8,4,3,14,2,0,Nott'm Forest,1,0,12,4,6,9,2,0,P Crossley,H,H,12.0,13.0,17.0,14.0,2
2010-10-16,Ipswich,1,0,18,12,9,8,0,0,Coventry,2,1,13,6,3,10,1,0,R Shoebridge,A,A,18.0,15.0,6.0,13.0,0
2010-10-19,Nott'm Forest,1,0,13,8,3,5,1,0,Middlesbrough,0,0,8,3,4,9,1,0,S Tanner,H,D,13.0,11.0,15.0,20.0,2
2010-10-19,Watford,2,2,5,2,6,5,0,0,Ipswich,1,0,9,3,4,13,1,0,G Scott,H,H,18.0,18.0,5.0,6.0,2
2010-10-19,Swansea,0,0,7,4,3,10,4,0,QPR,0,0,10,6,9,13,3,0,S Hooper,D,D,19.0,27.0,5.0,1.0,1
2010-10-19,Preston,2,0,19,10,7,9,1,0,Scunthorpe,3,1,13,9,4,11,1,0,S Mathieson,A,A,10.0,11.0,21.0,19.0,0
2010-10-19,Norwich,1,1,12,5,7,7,0,0,Crystal Palace,2,0,13,6,5,6,0,0,G Hegley,A,H,20.0,8.0,4.0,23.0,0
2010-10-19,Millwall,0,0,11,5,3,20,3,0,Portsmouth,1,0,9,3,4,13,2,0,A Woolmer,A,D,16.0,12.0,11.0,18.0,0
2010-10-19,Leeds,1,0,7,3,2,15,1,0,Leicester,2,0,14,9,1,9,0,0,D Whitestone,A,D,17.0,9.0,9.0,23.0,0
2010-10-19,Hull,0,0,13,5,5,10,2,0,Sheffield United,1,0,8,5,4,10,1,0,K Friend,A,D,13.0,12.0,18.0,19.0,0
2010-10-19,Doncaster,2,0,14,8,3,9,3,0,Derby,3,1,13,11,9,9,2,0,K Evans,A,A,16.0,15.0,13.0,14.0,0
2010-10-19,Coventry,1,1,12,5,5,12,2,0,Cardiff,2,1,9,6,4,10,0,0,J Linington,A,D,18.0,23.0,7.0,2.0,0
2010-10-19,Burnley,3,0,19,12,5,9,1,0,Barnsley,0,0,8,4,4,6,0,0,A Haines,H,D,17.0,15.0,9.0,16.0,2
2010-10-19,Bristol City,1,1,11,6,6,9,1,0,Reading,0,0,14,11,9,6,1,0,C Sarginson,H,H,6.0,16.0,24.0,11.0,2
2010-10-22,Bristol City,1,1,10,7,3,9,2,0,QPR,1,0,18,8,4,9,4,0,L Mason,D,H,9.0,28.0,24.0,1.0,1
2010-10-23,Preston,4,3,9,6,10,12,3,0,Crystal Palace,3,1,13,9,5,17,1,0,G Eltringham,H,H,10.0,11.0,23.0,22.0,2
2010-10-23,Nott'm Forest,2,2,8,5,1,9,0,0,Ipswich,0,0,8,4,5,7,1,0,A Woolmer,H,H,16.0,18.0,13.0,8.0,2
2010-10-23,Norwich,1,1,10,3,7,14,0,0,Middlesbrough,0,0,14,8,7,6,2,0,J Linington,H,H,20.0,11.0,5.0,22.0,2
2010-10-23,Millwall,2,1,14,10,8,11,0,0,Derby,0,0,6,3,9,9,1,0,G Salisbury,H,H,16.0,18.0,13.0,8.0,2
2010-10-23,Coventry,3,1,23,6,7,11,1,0,Barnsley,0,0,12,5,5,7,1,0,A Bates,H,H,18.0,15.0,10.0,16.0,2
2010-10-23,Doncaster,2,2,9,3,2,8,1,0,Sheffield United,0,0,7,5,2,11,1,0,K Hill,H,H,16.0,15.0,14.0,16.0,2
2010-10-23,Swansea,2,0,11,5,7,7,1,0,Leicester,0,0,9,5,8,12,1,0,K Stroud,H,D,20.0,12.0,7.0,21.0,2
2010-10-23,Burnley,0,0,14,4,4,10,2,1,Reading,4,1,16,10,5,11,1,0,N Miller,A,A,20.0,16.0,7.0,14.0,0
2010-10-23,Hull,1,0,11,6,5,14,4,0,Portsmouth,2,1,16,5,10,12,1,0,D Deadman,A,A,13.0,15.0,19.0,15.0,0
2010-10-23,Watford,0,0,13,7,12,7,2,0,Scunthorpe,2,2,11,9,9,6,1,0,R East,A,A,21.0,14.0,5.0,18.0,0
2010-10-25,Leeds,0,0,13,5,5,12,1,0,Cardiff,4,1,17,12,4,10,0,0,M Oliver,A,A,17.0,26.0,16.0,2.0,0
2010-10-30,Barnsley,1,1,17,10,7,15,3,0,Hull,1,0,5,1,1,7,1,0,A D'Urso,D,H,15.0,13.0,17.0,19.0,1
2010-10-30,Sheffield United,0,0,14,6,7,14,0,0,Coventry,1,1,11,6,5,8,0,0,D Foster,A,A,15.0,21.0,18.0,6.0,0
2010-10-30,Scunthorpe,1,1,7,3,9,9,0,0,Leeds,4,1,20,15,5,10,1,0,R Booth,A,D,17.0,17.0,15.0,16.0,0
2010-10-30,Reading,4,1,8,4,3,16,1,0,Doncaster,3,2,12,7,1,11,0,0,G Hegley,H,A,19.0,19.0,9.0,12.0,2
