Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2025-09-30,Hull,2,0,10,5,5,11,0,0,Preston,2,2,13,5,3,9,1,0,J Smith,D,A,2.16,3.35,3.35,2.15,1.8,2.06,1.73,1.85,1.93,8.0,12.0,19.0,8.0,1
2025-10-01,Millwall,0,0,13,3,3,9,2,0,Coventry,4,1,13,5,3,9,2,0,L Smith,A,A,2.89,3.39,2.39,1.93,1.93,1.88,1.86,1.75,1.97,11.0,13.0,11.0,3.0,0
2025-10-01,Norwich,0,0,16,5,4,8,1,0,West Brom,1,1,5,1,3,9,4,0,S Allison,A,A,2.78,3.38,2.46,2.0,1.91,1.92,1.83,1.96,1.79,8.0,11.0,17.0,9.0,0
2025-10-01,Portsmouth,2,1,15,5,3,9,2,0,Watford,2,0,12,6,3,15,5,0,B Toner,D,H,2.19,3.31,3.3,2.14,1.75,2.06,1.72,1.88,1.89,8.0,8.0,19.0,18.0,1
2025-10-01,QPR,0,0,13,1,9,12,3,0,Oxford,0,0,9,0,1,11,1,0,R Ricardo,D,D,2.08,3.42,3.46,2.06,1.8,2.0,1.76,1.77,2.0,11.0,5.0,10.0,23.0,1
2025-10-03,Wrexham,1,1,12,4,5,4,0,0,Birmingham,1,0,8,3,5,8,2,0,R Madley,D,H,2.96,3.18,2.44,2.4,1.71,2.2,1.64,1.74,2.0,9.0,11.0,15.0,11.0,1
2025-10-04,Millwall,3,1,11,4,4,17,1,0,West Brom,0,0,10,1,5,8,2,0,T Robinson,H,H,2.79,3.11,2.62,2.38,1.6,2.3,1.57,1.95,1.82,11.0,14.0,12.0,4.0,2
2025-10-04,Swansea,1,0,13,7,2,10,2,0,Leicester,3,1,17,7,5,11,1,0,D Webb,A,A,2.52,3.28,2.77,2.2,1.73,2.11,1.68,1.81,1.94,12.0,13.0,9.0,7.0,0
2025-10-04,Preston,2,0,15,3,3,6,0,0,Charlton,0,0,8,0,4,9,2,0,J Linington,H,D,2.5,3.2,2.87,2.3,1.62,2.24,1.61,1.78,1.98,13.0,12.0,8.0,9.0,2
2025-10-04,Portsmouth,1,1,8,1,2,13,2,0,Middlesbrough,0,0,12,1,8,6,1,0,A Backhouse,H,H,2.99,3.39,2.32,2.03,1.86,1.95,1.8,1.81,1.87,9.0,18.0,17.0,1.0,2
2025-10-04,Watford,2,2,27,10,9,6,3,0,Oxford,1,1,15,5,3,9,4,0,L Smith,H,H,2.02,3.37,3.73,2.12,1.8,2.05,1.72,1.95,1.79,9.0,6.0,17.0,21.0,2
2025-10-04,Derby,1,1,9,5,3,11,4,0,Southampton,1,1,13,6,5,9,2,0,O Langford,D,D,3.45,3.25,2.15,2.2,1.73,2.14,1.67,1.92,1.77,7.0,10.0,20.0,17.0,1
2025-10-04,Sheffield Weds,0,0,9,0,13,9,1,0,Coventry,5,3,21,10,8,3,1,0,A Herczeg,A,A,5.95,4.45,1.48,1.65,2.3,1.62,2.23,1.99,1.79,6.0,16.0,23.0,2.0,0
2025-10-04,Hull,1,1,5,2,4,13,2,0,Sheffield United,0,0,13,4,9,13,2,0,G Ward,H,H,2.62,3.35,2.61,1.91,1.98,1.85,1.9,1.88,1.88,9.0,3.0,18.0,24.0,2
2025-10-04,Blackburn,1,0,17,5,7,5,1,0,Stoke,1,0,11,6,6,9,1,0,R Ricardo,D,D,2.62,3.18,2.74,2.23,1.67,2.19,1.64,1.82,1.95,6.0,14.0,22.0,5.0,1
2025-10-04,Bristol City,1,1,11,1,4,9,5,0,QPR,2,0,8,2,1,8,1,0,E Duckworth,A,H,1.8,3.7,4.24,1.85,2.0,1.78,1.97,1.99,1.75,13.0,12.0,8.0,14.0,0
2025-10-05,Ipswich,3,2,19,9,8,9,1,0,Norwich,1,1,12,4,8,15,3,0,T Kirk,H,H,1.57,4.17,5.38,1.73,2.2,1.68,2.11,1.94,1.83,10.0,8.0,17.0,19.0,2
2025-10-17,Middlesbrough,2,1,15,5,5,12,3,0,Ipswich,1,0,17,5,9,14,1,0,M Donohue,H,H,2.79,3.22,2.55,2.14,1.73,2.1,1.7,1.96,1.81,18.0,13.0,2.0,9.0,2
2025-10-18,Leicester,1,1,19,6,14,15,1,0,Portsmouth,1,0,8,3,4,9,2,0,F Hallam,D,H,1.68,3.74,5.0,1.98,1.91,1.91,1.84,1.84,1.9,16.0,12.0,3.0,14.0,1
2025-10-18,West Brom,2,1,16,6,8,10,2,0,Preston,1,0,17,5,4,9,1,0,A Kitchen,H,H,1.78,3.5,4.63,2.25,1.7,2.2,1.62,1.74,2.0,14.0,16.0,7.0,4.0,2
2025-10-18,Stoke,1,1,12,3,6,8,2,0,Wrexham,0,0,5,3,4,5,0,0,T Bramall,H,H,1.95,3.46,3.87,2.0,1.86,1.95,1.8,1.9,1.85,15.0,10.0,6.0,18.0,2
2025-10-18,Sheffield United,1,0,18,6,7,5,0,0,Watford,0,0,13,1,3,8,1,0,R Madley,H,D,2.01,3.36,3.77,2.1,1.8,2.02,1.74,1.96,1.8,3.0,12.0,24.0,12.0,2
2025-10-18,Norwich,0,0,11,4,3,11,2,0,Bristol City,1,0,21,6,9,14,3,0,T Nield,A,D,2.54,3.45,2.65,1.91,2.03,1.81,1.94,1.83,1.94,8.0,13.0,19.0,10.0,0
2025-10-18,Charlton,2,2,12,5,2,9,1,0,Sheffield Weds,1,0,12,4,4,11,2,1,T Reeves,H,H,1.66,3.64,5.42,2.15,1.73,2.11,1.68,1.82,1.92,12.0,6.0,13.0,23.0,2
2025-10-18,Birmingham,2,1,29,8,9,7,2,1,Hull,3,2,14,7,7,14,7,0,R Ricardo,A,A,1.76,3.63,4.63,2.03,1.91,1.93,1.82,1.93,1.8,12.0,12.0,16.0,15.0,0
2025-10-18,Southampton,0,0,21,8,5,11,0,0,Swansea,0,0,6,1,3,14,4,0,J Smith,D,D,1.94,3.42,3.92,2.03,1.83,1.98,1.77,1.9,1.84,11.0,12.0,17.0,14.0,1
