Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2025-12-20,St Mirren,1,0,16,4,7,9,0,0,Livingston,0,0,5,1,4,13,1,0,C Graham,H,D,1.82,3.55,4.14,1.92,1.98,1.86,1.86,1.79,1.92,14.0,9.0,9.0,12.0,2
2025-12-21,Hearts,2,2,14,5,6,12,2,0,Rangers,1,0,11,2,10,10,1,0,N Walsh,H,H,2.09,3.38,3.35,1.96,1.93,1.89,1.83,1.78,1.92,38.0,29.0,1.0,4.0,2
2025-12-21,Celtic,3,1,31,10,8,12,1,0,Aberdeen,1,0,10,2,4,13,2,0,D Dickinson,H,H,1.32,5.46,7.84,1.52,2.65,1.48,2.52,1.86,1.85,32.0,24.0,2.0,6.0,2
2025-12-27,Aberdeen,1,0,14,6,9,8,2,0,Dundee United,1,1,13,3,5,18,3,0,C Scott,D,A,1.85,3.59,3.86,1.81,2.0,1.76,1.96,1.8,1.92,24.0,21.0,6.0,8.0,1
2025-12-27,St Mirren,0,0,19,7,11,9,1,0,Kilmarnock,0,0,11,3,4,8,0,0,D Robertson,D,D,1.77,3.53,4.37,1.98,1.91,1.92,1.8,1.74,2.0,17.0,12.0,9.0,11.0,1
2025-12-27,Rangers,1,0,28,13,5,15,3,0,Motherwell,0,0,12,5,1,11,1,0,D Dickinson,H,D,1.74,3.66,4.4,1.91,1.95,1.81,1.91,1.9,1.8,29.0,30.0,4.0,3.0,2
2025-12-27,Livingston,2,2,13,3,11,14,1,0,Celtic,4,4,18,7,4,6,0,0,M MacDermid,A,A,7.47,4.86,1.36,1.6,2.42,1.56,2.3,1.95,1.75,9.0,35.0,12.0,2.0,0
2025-12-27,Dundee,1,1,10,4,1,11,3,0,Falkirk,0,0,23,1,9,20,2,0,S McLean,H,H,2.92,3.22,2.37,2.08,1.83,1.97,1.75,1.72,1.94,13.0,24.0,11.0,7.0,2
2025-12-27,Hibernian,3,2,12,7,3,18,1,0,Hearts,2,0,16,7,8,10,0,0,J Beaton,H,H,2.77,3.23,2.46,2.05,1.83,1.96,1.76,1.97,1.78,25.0,41.0,5.0,1.0,2
2025-12-30,Dundee,2,0,26,6,7,12,2,0,Kilmarnock,1,1,8,4,5,17,4,0,N Walsh,H,A,2.73,3.12,2.59,2.2,1.67,2.12,1.65,1.91,1.82,16.0,13.0,10.0,11.0,2
2025-12-30,Hibernian,2,0,20,5,4,8,1,0,Aberdeen,0,0,8,2,5,14,2,0,D McFarlane,H,D,1.86,3.58,3.93,1.86,2.0,1.8,1.91,1.82,1.89,28.0,25.0,5.0,6.0,2
2025-12-30,Livingston,1,0,10,6,2,11,4,0,Dundee United,3,1,22,10,7,11,0,0,G Irvine,A,A,2.49,3.29,2.73,1.93,1.91,1.86,1.85,1.81,34.77,9.0,22.0,12.0,8.0,0
