Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HFKC,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AFKC,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2017-09-29,Auxerre,2,0,12,9,6,17,3,0,Sochaux,0,0,9,3,2,9,0,0,H,D,10.0,11.0,17.0,16.0,2
2017-09-30,Reims,1,0,8,3,6,18,1,0,Clermont,0,0,16,5,5,14,2,0,H,D,21.0,17.0,1.0,6.0,2
2017-10-02,Le Havre,3,2,11,7,7,17,3,0,Lorient,2,1,15,6,11,10,0,0,H,H,16.0,18.0,7.0,5.0,2
2017-10-13,Sochaux,1,1,10,4,3,26,3,0,Paris FC,0,0,5,1,4,17,2,0,H,H,11.0,20.0,17.0,4.0,2
2017-10-13,Quevilly Rouen,0,0,9,2,5,8,2,0,Ajaccio,1,0,6,5,2,19,2,0,A,D,5.0,20.0,19.0,2.0,0
2017-10-13,Nimes,4,2,17,10,6,10,1,0,Orleans,1,1,9,5,4,20,5,0,H,H,16.0,15.0,8.0,9.0,2
2017-10-13,Valenciennes,2,0,9,4,5,20,2,0,Tours,0,0,5,3,2,18,3,0,H,D,14.0,2.0,11.0,20.0,2
2017-10-13,Brest,1,1,12,3,11,11,0,0,Auxerre,1,1,5,2,0,12,1,0,D,D,20.0,13.0,3.0,14.0,1
2017-10-13,Bourg Peronnas,0,0,11,7,6,15,1,0,Lens,6,3,15,8,4,18,0,0,A,A,12.0,6.0,15.0,18.0,0
2017-10-13,Ajaccio GFCO,2,1,5,2,1,18,3,0,Nancy,1,0,10,5,1,19,3,0,H,H,12.0,13.0,16.0,14.0,2
2017-10-13,Chateauroux,3,1,9,8,0,19,5,1,Reims,1,1,19,8,5,18,2,0,H,D,12.0,24.0,16.0,1.0,2
2017-10-14,Clermont,3,1,10,5,4,17,3,0,Le Havre,0,0,13,8,5,11,1,0,H,H,17.0,19.0,8.0,5.0,2
2017-10-16,Lorient,0,0,17,5,5,11,1,0,Niort,0,0,9,6,2,15,3,0,D,D,18.0,14.0,8.0,13.0,1
2017-10-20,Paris FC,3,1,10,5,6,14,1,0,Valenciennes,2,1,7,3,2,18,2,0,H,D,20.0,17.0,5.0,9.0,2
2017-10-20,Auxerre,2,0,13,7,6,16,4,0,Quevilly Rouen,1,1,8,3,3,13,3,0,H,A,14.0,5.0,14.0,19.0,2
2017-10-20,Le Havre,1,1,12,7,9,17,2,0,Chateauroux,1,0,7,5,4,18,1,1,D,H,19.0,15.0,8.0,13.0,1
2017-10-20,Nancy,2,1,16,6,7,13,3,0,Clermont,2,1,13,6,6,13,2,0,D,D,13.0,20.0,16.0,5.0,1
2017-10-20,Nimes,4,1,18,7,10,15,1,0,Brest,0,0,3,2,3,12,3,2,H,H,19.0,21.0,7.0,5.0,2
2017-10-20,Niort,2,0,13,7,4,18,2,0,Bourg Peronnas,0,0,11,3,4,18,1,0,H,D,15.0,12.0,13.0,17.0,2
2017-10-20,Orleans,1,1,6,4,4,21,4,0,Lorient,2,0,17,7,8,10,2,0,A,H,15.0,19.0,13.0,8.0,0
2017-10-20,Tours,0,0,6,1,4,15,4,1,Sochaux,1,0,13,5,10,17,2,0,A,D,2.0,14.0,20.0,16.0,0
2017-10-21,Lens,0,0,10,7,9,17,1,0,Reims,1,1,6,2,1,17,1,0,A,A,9.0,24.0,18.0,1.0,0
2017-10-23,Ajaccio,2,1,7,2,5,24,3,0,Ajaccio GFCO,0,0,9,4,1,20,1,0,H,H,23.0,15.0,2.0,15.0,2
2017-10-27,Sochaux,2,2,13,5,5,13,2,0,Niort,1,1,11,4,10,11,1,0,H,H,17.0,18.0,12.0,9.0,2
2017-10-27,Quevilly Rouen,0,0,13,5,11,13,3,0,Le Havre,2,1,6,5,2,24,2,0,A,A,5.0,20.0,19.0,8.0,0
2017-10-27,Ajaccio GFCO,0,0,6,4,4,22,2,0,Paris FC,0,0,10,6,5,20,3,0,D,D,15.0,23.0,15.0,4.0,1
2017-10-27,Bourg Peronnas,1,0,5,5,5,17,3,0,Auxerre,1,0,9,4,8,20,1,0,D,D,12.0,17.0,17.0,12.0,1
2017-10-27,Brest,0,0,14,7,8,16,3,0,Orleans,1,1,2,1,2,19,5,0,A,A,21.0,15.0,8.0,15.0,0
2017-10-28,Clermont,1,1,11,5,2,15,0,1,Ajaccio,1,0,7,6,5,14,1,0,D,H,21.0,26.0,7.0,2.0,1
2017-10-28,Lorient,2,0,20,10,7,12,0,0,Tours,0,0,7,4,3,14,3,1,H,D,22.0,2.0,7.0,20.0,2
2017-10-28,Reims,3,2,13,7,9,20,2,0,Nancy,0,0,3,0,3,16,3,0,H,H,27.0,14.0,2.0,16.0,2
